,region,iso3,country,year,month,unrest_index
251,Eastern Africa,UGA,Uganda,2000,10,825
252,Middle Africa,AGO,Angola,2000,10,8450
253,Middle Africa,COD,Democratic Republic of Congo,2000,10,2100
254,Middle Africa,TCD,Chad,2000,10,175
255,Northern Africa,DZA,Algeria,2000,10,925
256,Northern Africa,EGY,Egypt,2000,10,705
257,Northern Africa,MAR,Morocco,2000,10,20
258,Northern Africa,SDN,Sudan,2000,10,2095
259,Northern Africa,TUN,Tunisia,2000,10,40
260,Southern Africa,NAM,Namibia,2000,10,525
261,Southern Africa,SWZ,eSwatini,2000,10,45
262,Southern Africa,ZAF,South Africa,2000,10,555
263,Southern Africa,ZWE,Zimbabwe,2000,10,250
264,Western Africa,BFA,Burkina Faso,2000,10,40
265,Western Africa,CIV,Ivory Coast,2000,10,2255
266,Western Africa,GIN,Guinea,2000,10,2000
267,Western Africa,LBR,Liberia,2000,10,1725
268,Western Africa,MRT,Mauritania,2000,10,40
269,Western Africa,NER,Niger,2000,10,20
270,Western Africa,NGA,Nigeria,2000,10,1495
271,Western Africa,SLE,Sierra Leone,2000,10,3100
272,Eastern Africa,BDI,Burundi,2000,11,4000
273,Eastern Africa,ETH,Ethiopia,2000,11,3775
274,Eastern Africa,KEN,Kenya,2000,11,935
275,Eastern Africa,MOZ,Mozambique,2000,11,175
276,Eastern Africa,MWI,Malawi,2000,11,25
277,Eastern Africa,SOM,Somalia,2000,11,625
278,Eastern Africa,TZA,Tanzania,2000,11,325
279,Eastern Africa,UGA,Uganda,2000,11,2575
280,Middle Africa,AGO,Angola,2000,11,7125
281,Middle Africa,CAF,Central African Republic,2000,11,45
282,Middle Africa,CMR,Cameroon,2000,11,45
283,Middle Africa,COD,Democratic Republic of Congo,2000,11,925
284,Middle Africa,COG,Republic of Congo,2000,11,175
285,Middle Africa,TCD,Chad,2000,11,325
286,Northern Africa,DZA,Algeria,2000,11,375
287,Northern Africa,EGY,Egypt,2000,11,500
288,Northern Africa,MAR,Morocco,2000,11,20
289,Northern Africa,SDN,Sudan,2000,11,1270
290,Southern Africa,LSO,Lesotho,2000,11,20
291,Southern Africa,NAM,Namibia,2000,11,775
292,Southern Africa,SWZ,eSwatini,2000,11,40
293,Southern Africa,ZAF,South Africa,2000,11,210
294,Southern Africa,ZMB,Zambia,2000,11,20
295,Southern Africa,ZWE,Zimbabwe,2000,11,125
296,Western Africa,BFA,Burkina Faso,2000,11,60
297,Western Africa,CIV,Ivory Coast,2000,11,20
298,Western Africa,GHA,Ghana,2000,11,325
299,Western Africa,GIN,Guinea,2000,11,1850
300,Western Africa,GMB,Gambia,2000,11,25
301,Western Africa,GNB,Guinea-Bissau,2000,11,470
302,Western Africa,LBR,Liberia,2000,11,375
303,Western Africa,MRT,Mauritania,2000,11,20
304,Western Africa,NER,Niger,2000,11,95
305,Western Africa,NGA,Nigeria,2000,11,940
306,Western Africa,SEN,Senegal,2000,11,200
307,Western Africa,SLE,Sierra Leone,2000,11,375
308,Eastern Africa,BDI,Burundi,2000,12,3995
309,Eastern Africa,DJI,Djibouti,2000,12,150
310,Eastern Africa,ETH,Ethiopia,2000,12,750
311,Eastern Africa,KEN,Kenya,2000,12,650
312,Eastern Africa,MDG,Madagascar,2000,12,20
313,Eastern Africa,MWI,Malawi,2000,12,130
314,Eastern Africa,RWA,Rwanda,2000,12,0
315,Eastern Africa,SOM,Somalia,2000,12,450
316,Eastern Africa,TZA,Tanzania,2000,12,125
317,Eastern Africa,UGA,Uganda,2000,12,720
318,Middle Africa,AGO,Angola,2000,12,1545
319,Middle Africa,CAF,Central African Republic,2000,12,100
320,Middle Africa,COD,Democratic Republic of Congo,2000,12,2550
321,Middle Africa,TCD,Chad,2000,12,600
322,Northern Africa,DZA,Algeria,2000,12,2550
323,Northern Africa,EGY,Egypt,2000,12,150
324,Northern Africa,MAR,Morocco,2000,12,70
325,Northern Africa,SDN,Sudan,2000,12,1420
326,Southern Africa,NAM,Namibia,2000,12,270
327,Southern Africa,ZAF,South Africa,2000,12,500
328,Southern Africa,ZMB,Zambia,2000,12,0
329,Southern Africa,ZWE,Zimbabwe,2000,12,25
330,Western Africa,BFA,Burkina Faso,2000,12,125
331,Western Africa,CIV,Ivory Coast,2000,12,1600
332,Western Africa,GHA,Ghana,2000,12,345
333,Western Africa,GIN,Guinea,2000,12,3425
334,Western Africa,LBR,Liberia,2000,12,270
335,Western Africa,MLI,Mali,2000,12,20
336,Western Africa,NGA,Nigeria,2000,12,225
337,Western Africa,SEN,Senegal,2000,12,1370
338,Western Africa,SLE,Sierra Leone,2000,12,1125
339,Eastern Africa,BDI,Burundi,2001,1,2125
340,Eastern Africa,ERI,Eritrea,2001,1,150
341,Eastern Africa,ETH,Ethiopia,2001,1,1750
342,Eastern Africa,KEN,Kenya,2001,1,1650
343,Eastern Africa,SOM,Somalia,2001,1,850
344,Eastern Africa,TZA,Tanzania,2001,1,495
345,Eastern Africa,UGA,Uganda,2001,1,575
346,Middle Africa,AGO,Angola,2001,1,920
347,Middle Africa,COD,Democratic Republic of Congo,2001,1,5350
348,Middle Africa,TCD,Chad,2001,1,150
349,Northern Africa,SDN,Sudan,2001,1,2545
350,Southern Africa,NAM,Namibia,2001,1,150
351,Southern Africa,ZAF,South Africa,2001,1,370
352,Southern Africa,ZWE,Zimbabwe,2001,1,275
353,Western Africa,BEN,Benin,2001,1,25
354,Western Africa,CIV,Ivory Coast,2001,1,435
355,Western Africa,GIN,Guinea,2001,1,1600
356,Western Africa,GNB,Guinea-Bissau,2001,1,150
357,Western Africa,LBR,Liberia,2001,1,125
358,Western Africa,MLI,Mali,2001,1,25
359,Western Africa,NER,Niger,2001,1,70
360,Western Africa,NGA,Nigeria,2001,1,395
361,Western Africa,SEN,Senegal,2001,1,175
362,Western Africa,SLE,Sierra Leone,2001,1,750
363,Eastern Africa,BDI,Burundi,2001,2,3125
364,Eastern Africa,ETH,Ethiopia,2001,2,150
365,Eastern Africa,KEN,Kenya,2001,2,730
366,Eastern Africa,MWI,Malawi,2001,2,25
367,Eastern Africa,SOM,Somalia,2001,2,325
368,Eastern Africa,TZA,Tanzania,2001,2,90
369,Eastern Africa,UGA,Uganda,2001,2,100
370,Middle Africa,AGO,Angola,2001,2,3200
371,Middle Africa,CAF,Central African Republic,2001,2,25
372,Middle Africa,COD,Democratic Republic of Congo,2001,2,2650
373,Northern Africa,DZA,Algeria,2001,2,1150
374,Northern Africa,EGY,Egypt,2001,2,175
375,Northern Africa,LBY,Libya,2001,2,65
376,Northern Africa,MAR,Morocco,2001,2,20
377,Northern Africa,SDN,Sudan,2001,2,405
378,Northern Africa,TUN,Tunisia,2001,2,25
379,Southern Africa,NAM,Namibia,2001,2,75
380,Southern Africa,ZAF,South Africa,2001,2,280
381,Southern Africa,ZMB,Zambia,2001,2,45
382,Southern Africa,ZWE,Zimbabwe,2001,2,270
383,Western Africa,CIV,Ivory Coast,2001,2,300
384,Western Africa,GIN,Guinea,2001,2,2275
385,Western Africa,GMB,Gambia,2001,2,25
386,Western Africa,LBR,Liberia,2001,2,2175
387,Western Africa,NER,Niger,2001,2,50
388,Western Africa,NGA,Nigeria,2001,2,800
389,Western Africa,SEN,Senegal,2001,2,545
390,Western Africa,SLE,Sierra Leone,2001,2,1200
391,Western Africa,TGO,Togo,2001,2,20
392,Eastern Africa,BDI,Burundi,2001,3,6150
393,Eastern Africa,ETH,Ethiopia,2001,3,775
394,Eastern Africa,KEN,Kenya,2001,3,3540
395,Eastern Africa,MWI,Malawi,2001,3,175
396,Eastern Africa,SOM,Somalia,2001,3,375
397,Eastern Africa,TZA,Tanzania,2001,3,20
398,Eastern Africa,UGA,Uganda,2001,3,2720
399,Middle Africa,AGO,Angola,2001,3,1075
